id_transaction,date_transaction,amount_transaction,estatus_transaction,type_transaction,id_cliente,id_platform,id_bill
TXN061,2024-07-08 23:00:00,51411,Completada,Pago de Factura,61,2,FAC3529
TXN062,2024-07-17 05:00:00,45233,Completada,Pago de Factura,62,1,FAC1856
TXN063,2024-06-10 01:00:00,99926,Fallida,Pago de Factura,63,1,FAC5678
TXN064,2024-06-20 12:00:00,31572,Completada,Pago de Factura,64,1,FAC7474
TXN065,2024-06-14 03:00:00,123720,Pendiente,Pago de Factura,65,1,FAC9956
TXN066,2024-07-29 14:00:00,17171,Fallida,Pago de Factura,66,2,FAC7570
TXN067,2024-07-23 09:00:00,56259,Fallida,Pago de Factura,67,2,FAC2909
TXN068,2024-06-20 22:00:00,196548,Fallida,Pago de Factura,68,2,FAC2139
TXN069,2024-06-20 18:00:00,93635,Completada,Pago de Factura,69,2,FAC8752
TXN070,2024-07-15 21:00:00,58585,Completada,Pago de Factura,70,2,FAC8107
TXN071,2024-06-06 18:00:00,86244,Completada,Pago de Factura,71,2,FAC7475
TXN072,2024-07-18 20:00:00,55572,Fallida,Pago de Factura,72,1,FAC3660
TXN073,2024-06-21 06:00:00,50713,Fallida,Pago de Factura,73,1,FAC9573
TXN074,2024-06-29 18:00:00,129480,Completada,Pago de Factura,74,1,FAC2238
TXN075,2024-07-03 20:00:00,41657,Completada,Pago de Factura,75,2,FAC6979
TXN076,2024-06-15 11:00:00,126084,Completada,Pago de Factura,76,2,FAC8740
TXN077,2024-06-04 07:00:00,190936,Fallida,Pago de Factura,77,1,FAC9872
TXN078,2024-06-21 21:00:00,78561,Fallida,Pago de Factura,78,1,FAC9634
TXN079,2024-07-23 11:00:00,162844,Completada,Pago de Factura,79,1,FAC9210
TXN080,2024-06-29 15:00:00,80235,Fallida,Pago de Factura,80,1,FAC3888
TXN081,2024-06-18 00:00:00,158138,Pendiente,Pago de Factura,81,2,FAC7110
TXN082,2024-06-06 15:00:00,101593,Pendiente,Pago de Factura,82,2,FAC5649
TXN083,2024-06-22 03:00:00,103741,Pendiente,Pago de Factura,83,2,FAC1490
TXN084,2024-07-04 02:00:00,41300,Pendiente,Pago de Factura,84,2,FAC5439
TXN085,2024-06-19 11:00:00,89956,Completada,Pago de Factura,85,2,FAC4962
TXN086,2024-07-13 05:00:00,165402,Completada,Pago de Factura,86,1,FAC8801
TXN087,2024-07-04 09:00:00,106689,Pendiente,Pago de Factura,87,1,FAC1904
TXN088,2024-06-14 11:00:00,22411,Completada,Pago de Factura,88,1,FAC7503
TXN089,2024-06-27 05:00:00,11359,Pendiente,Pago de Factura,89,2,FAC7561
TXN090,2024-06-08 10:00:00,79808,Pendiente,Pago de Factura,90,1,FAC5390
TXN091,2024-07-05 21:00:00,42648,Pendiente,Pago de Factura,91,1,FAC1760
TXN092,2024-06-03 05:00:00,101468,Pendiente,Pago de Factura,92,2,FAC3395
TXN093,2024-06-21 17:00:00,115488,Pendiente,Pago de Factura,93,2,FAC1926
TXN094,2024-07-26 00:00:00,61920,Completada,Pago de Factura,94,2,FAC7521
TXN095,2024-07-23 20:00:00,141510,Fallida,Pago de Factura,95,1,FAC6693
TXN096,2024-07-08 19:00:00,39792,Pendiente,Pago de Factura,96,2,FAC1513
TXN097,2024-07-09 05:00:00,87689,Completada,Pago de Factura,97,2,FAC3039
TXN098,2024-07-06 00:00:00,178739,Fallida,Pago de Factura,98,1,FAC3709
TXN099,2024-07-27 10:00:00,105611,Fallida,Pago de Factura,99,2,FAC3914
TXN100,2024-07-11 07:00:00,141787,Fallida,Pago de Factura,100,2,FAC8875
